word	surp
In	4.843202590942383
Ireland's	9.216197967529297
County	7.342721939086914
Limerick,	9.216197967529297
near	7.40083122253418
the	6.279943466186523
River	5.324225902557373
Shannon,	9.216197967529297
there	7.28497314453125
is	6.434731483459473
a	6.615625858306885
quiet	8.527873992919922
little	7.797843933105469
suburb	8.860301971435547
by	6.28934383392334
the	6.279943466186523
name	7.845403671264648
of	5.8280415534973145
Garryowen,	9.216197967529297
which	6.985899925231934
means	8.137056350708008
"""Garden"	9.216197967529297
of	5.8280415534973145
"Owen."""	9.216197967529297
Undoubtedly	9.216197967529297
none	8.507458686828613
of	5.8280415534973145
the	6.279943466186523
residents	8.125750541687012
realize	8.778661727905273
the	6.279943466186523
influence	8.117233276367188
their	6.949855804443359
town	8.033413887023926
has	7.143404960632324
had	6.91279411315918
on	6.694545745849609
American	6.575804710388184
military	7.542927265167236
history,	9.216197967529297
or	6.336171627044678
the	6.279943466186523
deeds	9.216197967529297
of	5.8280415534973145
valor	9.216197967529297
that	6.407960891723633
have	7.0915937423706055
been	7.7580790519714355
done	8.276029586791992
in	6.211684226989746
its	7.055192947387695
name.	9.216197967529297
The	4.279740810394287
cry	9.032716751098633
"""Garryowen!"""	9.216197967529297
Bursting	9.216197967529297
from	6.431474685668945
the	6.279943466186523
lips	8.981199264526367
of	5.8280415534973145
a	6.615625858306885
charging	8.879920959472656
cavalry	7.977910995483398
trooper	9.216197967529297
was	6.638031005859375
the	6.279943466186523
last	7.90458869934082
sound	7.365896224975586
heard	7.43434476852417
on	6.694545745849609
this	7.158479690551758
earth	8.593314170837402
by	6.28934383392334
untold	9.216197967529297
numbers	8.004812240600586
of	5.8280415534973145
Cheyennes,	9.216197967529297
Sioux	8.54193115234375
and	5.7746429443359375
Apaches,	9.216197967529297
Mexican	8.349794387817383
banditos	9.216197967529297
under	7.272045135498047
Pancho	9.216197967529297
Villa,	9.216197967529297
Japanese	7.246042728424072
in	6.211684226989746
the	6.279943466186523
South	6.629525661468506
Pacific,	9.216197967529297
and	5.7746429443359375
Chinese	7.708748817443848
and	5.7746429443359375
North	6.986647605895996
Korean	7.529577255249023
Communists	8.981199264526367
in	6.211684226989746
Korea.	9.216197967529297
Garryowen	9.216197967529297
is	6.434731483459473
the	6.279943466186523
battle	8.02016544342041
cry	9.032716751098633
of	5.8280415534973145
the	6.279943466186523
7th	7.321744918823242
U.S.	6.977818489074707
Cavalry	8.80449104309082
Regiment,	9.216197967529297
"""The"	9.216197967529297
Fighting	7.266574859619141
"Seventh."""	9.216197967529297
Today	6.803361892700195
a	6.615625858306885
battle	8.02016544342041
cry	9.032716751098633
may	7.151824951171875
seem	8.470749855041504
an	7.064122676849365
anachronism,	9.216197967529297
for	6.673058032989502
in	6.211684226989746
the	6.279943466186523
modern	7.727309226989746
Army,	9.216197967529297
esprit	9.216197967529297
de	7.560277938842773
corps	8.57208251953125
has	7.143404960632324
been	7.7580790519714355
sacrificed	9.032716751098633
to	6.349459648132324
organizational	9.216197967529297
charts	8.4789400100708
and	5.7746429443359375
tables.	9.216197967529297
But	6.758749485015869
don't	9.216197967529297
tell	8.358661651611328
that	6.407960891723633
to	6.349459648132324
a	6.615625858306885
veteran	8.5370454788208
of	5.8280415534973145
the	6.279943466186523
Fighting	7.266574859619141
Seventh,	9.216197967529297
especially	8.232993125915527
in	6.211684226989746
a	6.615625858306885
saloon	9.270535469055176
on	6.694545745849609
Saturday	8.500622749328613
night.	9.216197967529297
Of	6.577104568481445
all	7.0929059982299805
the	6.279943466186523
thousands	8.645698547363281
of	5.8280415534973145
men	7.726294040679932
who	7.093206405639648
have	7.0915937423706055
served	8.073978424072266
in	6.211684226989746
the	6.279943466186523
7th	7.321744918823242
Cav,	9.216197967529297
perhaps	8.328145027160645
no	7.469402313232422
one	7.082419395446777
knows	8.548486709594727
its	7.055192947387695
spirit	8.454560279846191
better	7.937234878540039
than	7.285092353820801
Lieutenant	7.176059246063232
Colonel	7.898530006408691
Melbourne	8.726795196533203
C.	6.917057037353516
Chandler.	9.216197967529297
Wiry	9.216197967529297
and	5.7746429443359375
burr-headed,	9.216197967529297
with	6.5999932289123535
steel	8.264769554138184
blue	8.192386627197266
eyes	8.446163177490234
and	5.7746429443359375
a	6.615625858306885
chest	8.666997909545898
splattered	9.216197967529297
with	6.5999932289123535
medals,	9.216197967529297
Chandler	8.157485008239746
is	6.434731483459473
the	6.279943466186523
epitome	9.216197967529297
of	5.8280415534973145
the	6.279943466186523
old-time	9.216197967529297
trooper.	9.216197967529297
The	4.279740810394287
truth	8.369890213012695
is,	9.216197967529297
however,	9.216197967529297
that	6.407960891723633
when	7.068378925323486
Mel	9.216197967529297
Chandler	8.157485008239746
first	7.3679914474487305
reported	7.86440372467041
to	6.349459648132324
the	6.279943466186523
regiment	8.490842819213867
the	6.279943466186523
only	7.075196266174316
steed	9.216197967529297
he	7.20659065246582
had	6.91279411315918
ever	7.698598861694336
ridden	9.18057632446289
was	6.638031005859375
a	6.615625858306885
swivel	9.216197967529297
chair	8.57790470123291
and	5.7746429443359375
the	6.279943466186523
only	7.075196266174316
weapon	8.374811172485352
he	7.20659065246582
had	6.91279411315918
ever	7.698598861694336
wielded	9.032716751098633
was	6.638031005859375
a	6.615625858306885
pencil.	9.216197967529297
Chandler	8.157485008239746
had	6.91279411315918
been	7.7580790519714355
commissioned	8.326274871826172
in	6.211684226989746
the	6.279943466186523
Medical	7.943273544311523
Service	7.69481086730957
Corps	7.168197154998779
and	5.7746429443359375
was	6.638031005859375
serving	8.146586418151855
as	6.107613563537598
a	6.615625858306885
personnel	8.13156509399414
officer	8.187271118164062
for	6.673058032989502
the	6.279943466186523
Kansas	8.58915901184082
City	6.19563627243042
Medical	7.943273544311523
Depot	9.12799072265625
when	7.068378925323486
he	7.20659065246582
decided	8.234384536743164
that	6.407960891723633
if	7.625445365905762
he	7.20659065246582
was	6.638031005859375
going	8.095352172851562
to	6.349459648132324
make	7.834754943847656
the	6.279943466186523
Army	7.969203472137451
his	6.797174453735352
career,	9.216197967529297
he	7.20659065246582
wanted	8.155773162841797
to	6.349459648132324
be	7.562943935394287
in	6.211684226989746
the	6.279943466186523
fighting	8.018388748168945
part	7.325316429138184
of	5.8280415534973145
it.	9.216197967529297
Though	6.221953392028809
he	7.20659065246582
knew	8.277894020080566
no	7.469402313232422
more	7.091944694519043
about	7.193869590759277
military	7.542927265167236
science	8.2333984375
and	5.7746429443359375
tactics	8.265064239501953
than	7.285092353820801
any	7.438555717468262
other	7.405966758728027
desk	9.032716751098633
officer,	9.216197967529297
he	7.20659065246582
managed	5.400577545166016
to	6.349459648132324
get	8.062349319458008
transferred	8.442449569702148
to	6.349459648132324
the	6.279943466186523
combat	8.069794654846191
forces.	9.216197967529297
The	4.279740810394287
next	7.56215763092041
thing	8.194785118103027
he	7.20659065246582
knew	8.277894020080566
he	7.20659065246582
was	6.638031005859375
reporting	8.602262496948242
for	6.673058032989502
duty	8.40727710723877
as	6.107613563537598
commanding	8.898772239685059
officer	8.187271118164062
of	5.8280415534973145
Troop	9.216197967529297
H,	9.216197967529297
7th	7.321744918823242
Cavalry,	9.216197967529297
in	6.211684226989746
the	6.279943466186523
middle	8.296952247619629
of	5.8280415534973145
corps	8.57208251953125
maneuvers	8.832717895507812
in	6.211684226989746
Japan.	9.216197967529297
Outside	6.920396327972412
of	5.8280415534973145
combat,	9.216197967529297
he	7.20659065246582
couldn't	9.216197967529297
have	7.0915937423706055
landed	8.193950653076172
in	6.211684226989746
a	6.615625858306885
tougher	9.216197967529297
spot.	9.216197967529297
First	6.549787521362305
of	5.8280415534973145
all,	9.216197967529297
no	7.469402313232422
unit	7.976739883422852
