code,token,surprisal,mean_rt
17000,In,4.57937,380.27529411764704
17002,County,12.6541,296.04294117647055
17004,near,12.2238,403.5535294117647
17005,the,1.98095,306.07588235294116
17006,River,15.709,289.0482352941176
17008,there,11.7415,346.30529411764707
17009,is,2.90521,306.6311764705883
17010,a,2.35382,281.77647058823527
17011,quiet,13.3316,258.03647058823526
17012,little,6.60724,298.04352941176467
17013,suburb,15.866,292.3229411764706
17014,by,8.07692,335.39294117647063
17015,the,2.89443,262.9494117647059
17016,name,10.902,243.0141176470588
17017,of,2.17943,244.76882352941175
17019,which,15.7846,527.0388235294117
17020,means,9.16165,324.44176470588235
17022,of,5.83894,310.26529411764704
17025,none,14.4954,377.0558823529412
17026,of,1.78988,269.1035294117647
17027,the,1.1459,256.2182352941177
17028,residents,15.1267,264.6788235294118
17029,realize,14.82,326.9576470588235
17030,the,7.00778,299.5382352941176
17031,influence,12.7837,268.4082352941176
17032,their,11.4865,296.78470588235297
17033,town,14.1052,296.24176470588236
17034,has,9.00298,361.4358823529412
17035,had,6.59105,266.3805882352941
17036,on,12.8607,256.7835294117647
17037,American,12.1547,285.1605882352941
17038,military,10.5408,348.18470588235294
17040,or,8.48984,369.60823529411766
17041,the,5.36467,260.2647058823529
17042,deeds,18.1069,249.57823529411763
17043,of,2.96339,290.52941176470586
17045,that,7.2376,270.42294117647054
17046,have,6.52668,247.63823529411766
17047,been,2.63539,271.3376470588235
17048,done,9.81912,319.1605882352941
17049,in,3.70415,281.86823529411765
17050,its,6.28193,245.44058823529411
17052,The,2.68215,300.72764705882355
17053,cry,17.7505,274.9164705882353
17056,from,7.06961,356.94529411764705
17057,the,1.75654,273.3517647058824
17058,lips,16.9599,265.30176470588236
17059,of,3.96339,253.22411764705885
17060,a,5.0337,247.4129411764706
17061,charging,15.8519,307.34235294117644
17064,was,8.22744,291.204705882353
17065,the,3.35473,274.834705882353
17066,last,7.72655,243.74
17067,sound,15.661,258.34352941176473
17068,heard,14.4516,250.1764705882353
17069,on,7.98529,288.1482352941177
17070,this,7.34095,274.4364705882353
17071,earth,17.7285,296.5311764705882
17072,by,7.95239,266.5064705882353
17073,untold,17.9163,288.9194117647059
17074,numbers,13.729,324.6235294117647
17075,of,5.32752,311.3388235294118
17077,Sioux,17.3111,500.07117647058817
17078,and,6.68245,363.69235294117647
17080,Mexican,15.7486,377.6035294117647
17082,under,10.466,419.49764705882353
17085,Japanese,13.3111,429.90588235294115
17086,in,10.4552,286.37176470588236
17087,the,2.68569,268.2917647058824
17088,South,8.47582,240.98352941176472
17090,and,5.48786,359.81823529411764
17091,Chinese,13.931,412.8376470588235
17092,and,5.87267,286.32235294117646
17093,North,12.2223,321.4123529411765
17094,Korean,6.71523,282.0876470588235
17095,Communists,17.3873,298.6858823529412
17096,in,6.64327,309.43176470588236
17099,is,6.41849,693.0405882352941
17100,the,4.30241,330.0094117647059
17101,battle,12.4125,300.55999999999995
17102,cry,17.485,276.0141176470588
17103,of,6.88793,275.82705882352946
17104,the,3.44768,269.52235294117645
17106,U.S.,10.835,282.47764705882355
17112,Today,10.2125,355.5176470588235
17113,a,7.74385,274.72235294117644
17114,battle,11.1756,409.4364705882353
17115,cry,17.81,303.1664705882353
17116,may,9.87549,291.48823529411766
17117,seem,7.64831,293.77176470588233
17118,an,10.1864,273.80529411764707
17120,for,7.74469,509.60647058823525
17121,in,11.1798,347.95411764705887
17122,the,2.42276,374.94588235294117
17123,modern,17.41,307.0135294117647
17126,de,10.6635,405.20411764705887
17127,corps,8.12025,443.555294117647
17128,has,8.51725,321.2352941176471
17129,been,3.10888,442.2217647058824
17131,to,6.67476,306.2176470588235
17132,organizational,17.6471,411.5629411764706
17133,charts,16.1947,388.88882352941175
17134,and,6.34977,305.5394117647059
17136,But,4.58894,269.3670588235294
17138,tell,13.7979,272.0070588235294
17139,that,7.89413,265.37
17140,to,9.91256,274.9235294117648
17141,a,5.97938,274.10823529411766
17142,veteran,12.5638,255.72235294117647
17143,of,3.23012,275.01882352941175
17144,the,3.44768,236.71823529411765
17147,especially,13.9987,364.96529411764703
17148,in,6.85787,282.74764705882353
17149,a,4.48337,275.9664705882353
17151,on,7.54732,315.30117647058825
17152,Saturday,9.89972,295.5076470588235
17154,Of,9.48448,295.1135294117647
17155,all,6.25566,296.2964705882353
17156,the,1.68939,279.1311764705883
17157,thousands,12.9606,326.9429411764706
17158,of,0.989038,279.2982352941176
17159,men,12.1001,248.67000000000002
17160,who,4.67492,270.3235294117647
17161,have,5.20407,279.4005882352941
17162,served,11.2731,252.8435294117647
17163,in,5.54336,267.59529411764703
17164,the,2.68569,253.78294117647062
17167,perhaps,14.4904,343.65529411764703
17168,no,11.3553,336.9476470588235
17169,one,5.03656,263.09529411764703
17170,knows,12.2012,257.4294117647059
17171,its,9.49998,300.85705882352937
17172,spirit,15.6258,252.79823529411763
17173,better,12.1473,289.1858823529412
17174,than,2.72225,261.22117647058826
17178,C.,15.939,507.6470588235294
17181,and,6.81849,315.15647058823527
17183,with,7.74011,421.2011764705882
17184,steel,12.1379,307.0476470588235
17185,blue,14.9505,348.5464705882353
17186,eyes,6.21132,346.834705882353
17187,and,3.78909,285.05470588235295
17188,a,5.56924,310.4117647058824
17189,chest,18.3768,266.5735294117647
